name|productUrl|imageUrl|description|price|currency|TDProductId|TDCategoryID|TDCategoryName|merchantCategoryName|sku|shortDescription|promoText|previousPrice|warranty|availability|inStock|shippingCost|deliveryTime|weight|size|brand|model|ean|upc|isbn|condition|mpn|techSpecs|manufacturer|programName|programLogoPath|programId|advertiserProductUrl|fields
"?QUAESITO - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1166557047)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44462821%26tp%3D31059)"|"http://cdn.yoox.biz/44/44462821_2.JPG"|"Solid colour Round toeline Flower application Rubber sole Square heel No No platform Non contiene Pelliccia Sandals  Soft leather"|"39.00"|"GBP"|"1166557047"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44462821"|"?QUAESITO - FOOTWEAR - High-heeled sandals"|""|"130.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"3,4,7"|"?QUAESITO"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44462821&tp=31059"|"color:Dove grey;largeimage:http://cdn.yoox.biz/44/44462821SB_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44462821SB_12_F.JPG;sex:WOMEN"
"L' AUTRE CHOSE - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1166557389)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44464132%26tp%3D31059)"|"http://cdn.yoox.biz/44/44464132_2.JPG"|"Solid colour Round toeline No appliqu&#233;s Leather sole Square heel Small sized No No platform Non contiene Pelliccia Sandals  Soft leather"|"42.00"|"GBP"|"1166557389"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44464132"|"L' AUTRE CHOSE - FOOTWEAR - High-heeled sandals"|""|"100.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"3,4,4.5,5,5.5,6,6.5,7"|"L' AUTRE CHOSE"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44464132&tp=31059"|"color:Tan;largeimage:http://cdn.yoox.biz/44/44464132PT_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44464132PT_12_F.JPG;sex:WOMEN"
"VIC - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1166560903)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44479350%26tp%3D31059)"|"http://cdn.yoox.biz/44/44479350_2.JPG"|"Solid colour Rear zip closure Round toeline Stitching No appliqu&#233;s Rubber sole Cone heel Shoe boots No No platform not made of fur Sandals  Soft leather"|"45.00"|"GBP"|"1166560903"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44479350"|"VIC - FOOTWEAR - High-heeled sandals"|""|"100.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"2,3,3.5,4,5"|"VIC"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44479350&tp=31059"|"color:Ochre - Brown;largeimage:http://cdn.yoox.biz/44/44479350WK_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44479350WK_12_F.JPG;sex:WOMEN"
"COSTUME NATIONAL - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1178270743)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44470820%26tp%3D31059)"|"http://cdn.yoox.biz/44/44470820_2.JPG"|"Solid colour Side buckle closure Square toeline No appliqu&#233;s Leather sole Wooden heel Hand-crafted workmanship No No platform not made of fur Sandals  Soft leather"|"98.00"|"GBP"|"1178270743"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44470820"|"COSTUME NATIONAL - FOOTWEAR - High-heeled sandals"|""|"177.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"3,4,5,6,7"|"COSTUME NATIONAL"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44470820&tp=31059"|"color:Beige;largeimage:http://cdn.yoox.biz/44/44470820LL_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44470820LL_12_F.JPG;sex:WOMEN"
"LERRE - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1182533747)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44485134%26tp%3D31059)"|"http://cdn.yoox.biz/44/44485134_2.JPG"|"Laminated effect Solid colour Side buckle closure Round toeline No appliqu&#233;s Leather sole Covered spike heel No No platform not made of fur Sandals  Soft leather"|"79.00"|"GBP"|"1182533747"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44485134"|"LERRE - FOOTWEAR - High-heeled sandals"|""|"192.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"2,3,4,5,6,7,8"|"LERRE"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44485134&tp=31059"|"color:Acid green - Sky blue - Silver;largeimage:http://cdn.yoox.biz/44/44485134IR_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44485134IR_12_F.JPG;sex:WOMEN"
"MANWOOD - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1182535063)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44489511%26tp%3D31059)"|"http://cdn.yoox.biz/44/44489511_2.JPG"|"Laminated effect Solid colour Side buckle closure Round toeline Glitter Leather sole Wooden heel No No platform not made of fur Sandals  Soft leather"|"35.00"|"GBP"|"1182535063"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44489511"|"MANWOOD - FOOTWEAR - High-heeled sandals"|""|"110.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"3,4.5,5,6,6.5,8"|"MANWOOD"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44489511&tp=31059"|"color:Lead;largeimage:http://cdn.yoox.biz/44/44489511DN_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44489511DN_12_F.JPG;sex:WOMEN"
"LEPRE - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1182535271)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44489986%26tp%3D31059)"|"http://cdn.yoox.biz/44/44489986_2.JPG"|"Iridescent effect Solid colour Slip on Round toeline No appliqu&#233;s Leather sole Covered spike heel No No platform not made of fur Sandals  Soft leather"|"79.00"|"GBP"|"1182535271"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44489986"|"LEPRE - FOOTWEAR - High-heeled sandals"|""|"191.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"2,3,4,5,6,7,8"|"LEPRE"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44489986&tp=31059"|"color:Turquoise - Light pink - Coral;largeimage:http://cdn.yoox.biz/44/44489986UM_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44489986UM_12_F.JPG;sex:WOMEN"
"MEGUMI OCHI - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1188100419)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44492844%26tp%3D31059)"|"http://cdn.yoox.biz/44/44492844_2.JPG"|"Laminated effect Sueded Solid colour Elasticised gores Round toeline Stitching Contrasting applications Leather sole Wooden heel No No platform not made of fur Sandals  Soft leather"|"59.00"|"GBP"|"1188100419"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44492844"|"MEGUMI OCHI - FOOTWEAR - High-heeled sandals"|""|"134.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"3,4,5,7,8"|"MEGUMI OCHI"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44492844&tp=31059"|"color:Black;largeimage:http://cdn.yoox.biz/44/44492844IW_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44492844IW_12_F.JPG;sex:WOMEN"
"CALVIN KLEIN COLLECTION - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1196092261)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44452612%26tp%3D31059)"|"http://cdn.yoox.biz/44/44452612_2.JPG"|"Solid colour Side buckle closure No appliqu&#233;s Square toeline Wooden heel Leather sole No No Contiene Pelliccia Sandals  Ponyskin"|"79.00"|"GBP"|"1196092261"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44452612"|"CALVIN KLEIN COLLECTION - FOOTWEAR - High-heeled sandals"|""|"205.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"4,5,6,7,8"|"CALVIN KLEIN COLLECTION"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44452612&tp=31059"|"color:Dark blue - Camel;largeimage:http://cdn.yoox.biz/44/44452612AD_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44452612AD_12_F.JPG;sex:WOMEN"
"ACROBATS OF GOD - FOOTWEAR - High-heeled sandals"|"http://pdt.tradedoubler.com/click?a(2332345)p(209707)prod(1214246011)ttid(5)url(http%3A%2F%2Fwww.yoox.com%2Fitem.asp%3Fcod10%3D44496947%26tp%3D31059)"|"http://cdn.yoox.biz/44/44496947_2.JPG"|"Solid colour Elasticised gores Round toeline No appliqu&#233;s Leather sole Wooden heel No No platform not made of fur Sandals  Textile fibres"|"79.00"|"GBP"|"1214246011"|"760"|"Women shoes"|"FOOTWEAR_High-heeled sandals_D"|"44496947"|"ACROBATS OF GOD - FOOTWEAR - High-heeled sandals"|""|"150.00"|""|"Now"|"1"|"7.00"|"Standard: Delivery in 4-6 working days"|""|"3,3.5,4.5,6,6.5,7"|"ACROBATS OF GOD"|""|""|""|""|"New"|""|""|""|"YOOX_direct UK"|""|"209707"|"http://www.yoox.com/item.asp?cod10=44496947&tp=31059"|"color:Brown;largeimage:http://cdn.yoox.biz/44/44496947KO_14_F.JPG;mediumimage:http://cdn.yoox.biz/44/44496947KO_12_F.JPG;sex:WOMEN"
